Name,Chromosome,Region,Identifier,wtN_vs_wtO - Max group means,wtN_vs_wtO - Fold change,wtN_vs_wtO - Log fold change,wtN_vs_wtO - P-value,wtN_vs_wtO - FDR p-value,wtN_vs_wtO - Bonferroni,WT5_N - Total counts,WT5_N - RPKM,WT5_N - TPM,WT5_N - CPM,WT6_N - Total counts,WT6_N - RPKM,WT6_N - TPM,WT6_N - CPM,WT7_N - Total counts,WT7_N - RPKM,WT7_N - TPM,WT7_N - CPM,WT8_N - Total counts,WT8_N - RPKM,WT8_N - TPM,WT8_N - CPM,Wt11N - Total counts,Wt11N - RPKM,Wt11N - TPM,Wt11N - CPM,Wt13N - Total counts,Wt13N - RPKM,Wt13N - TPM,Wt13N - CPM,Wt14N - Total counts,Wt14N - RPKM,Wt14N - TPM,Wt14N - CPM,Wt17N - Total counts,Wt17N - RPKM,Wt17N - TPM,Wt17N - CPM,Wt19N - Total counts,Wt19N - RPKM,Wt19N - TPM,Wt19N - CPM,Wt20N - Total counts,Wt20N - RPKM,Wt20N - TPM,Wt20N - CPM,Wt0O - Total counts,Wt0O - RPKM,Wt0O - TPM,Wt0O - CPM,WT1_O - Total counts,WT1_O - RPKM,WT1_O - TPM,WT1_O - CPM,WT2_O - Total counts,WT2_O - RPKM,WT2_O - TPM,WT2_O - CPM,WT3_O - Total counts,WT3_O - RPKM,WT3_O - TPM,WT3_O - CPM,WT4_O - Total counts,WT4_O - RPKM,WT4_O - TPM,WT4_O - CPM
yaaW,NC_000913,complement(10643..11356),944771,5.215584867,-1.029622145,-0.042114989,0.910760242,0.94663356,1,19,5.899748443,3.244770417,4.571481291,6,1.581951533,0.902911234,1.138115267,8,2.627377862,1.508633459,1.930137925,23,6.519620692,3.591368262,4.796443263,21,7.366296272,4.009976046,6.004805669,17,5.974137267,3.32132344,4.973185964,22,7.557460309,4.250330363,6.096909856,9,3.538421293,1.993614244,2.875234093,0,0,0,0,14,4.370682476,2.366050644,4.115760212,19,6.602682063,4.224088076,4.885189101,15,4.424004599,2.861941934,3.191428405,28,7.215896863,4.698211521,5.204161234,21,4.520738231,2.94553589,3.176170904,14,3.31460258,2.160562985,2.361403515
mbiA,NC_000913,10830..11315,948295,1.517072117,-1.001616691,-0.002330509,0.997654766,0.998604028,1,0,0,0,0,7,2.711451907,1.547582425,1.327801144,6,2.894981163,1.662290571,1.447603444,0,0,0,0,0,0,0,0,9,4.646551207,2.583251564,2.632863157,0,0,0,0,0,0,0,0,7,3.543595746,1.97485494,1.918898299,0,0,0,0,1,0.510538769,0.326618896,0.257115216,11,4.766273268,3.083359664,2.34038083,0,0,0,0,4,1.26506255,0.824265187,0.604984934,3,1.043485998,0.680177236,0.506015039
yaaI,NC_000913,complement(11382..11786),944751,8.244712377,-1.163605667,-0.218602227,0.39140624,0.539705951,1,8,4.379384419,2.408593713,1.924834228,16,7.43712523,4.244797507,3.034974044,18,10.42193219,5.984246054,4.342810331,18,8.99518681,4.955047225,3.753738206,8,4.947240953,2.693119715,2.287545017,8,4.956321288,2.755468335,2.340322807,8,4.844917316,2.724790913,2.217058129,8,5.544982833,3.1241494,2.555763639,11,6.682209121,3.724012173,3.015411613,7,3.852675664,2.085629827,2.057880106,14,8.577051319,5.487197455,3.599613022,21,10.91909876,7.063696685,4.467999767,16,7.269347951,4.733013088,2.973806419,15,5.692781476,3.709193344,2.268693503,21,8.765282379,5.713488784,3.542105273
dnaK,NC_000913,12163..14079,944750,996.3611169,-1.329486526,-0.410869156,0.03517299,0.08428741,1,5792,669.8607717,368.4130665,1393.579981,9513,934.1906556,533.1966376,1804.481755,9089,1111.79509,638.3898167,2192.87795,8959,945.8671201,521.0360104,1868.318921,4605,601.6385014,327.512754,1316.7681,3884,508.3719687,282.6295514,1136.226723,3863,494.2583343,277.9718476,1070.561944,4365,639.1861813,360.1297218,1394.488535,4222,541.8493004,301.973996,1157.369803,3923,456.158349,246.9394108,1153.294808,8745,1131.886023,724.1278935,2248.472563,8495,933.1764986,603.6831322,1807.412287,9763,937.1123774,610.1462163,1814.579504,11688,937.144083,610.6063634,1767.765977,11822,1042.486603,679.5257988,1994.036597
dnaJ,NC_000913,14168..15298,944753,142.0322812,-1.258225656,-0.331390685,0.044437978,0.101864471,1,420,82.33126544,45.28092292,101.053797,846,140.8146672,80.37107482,160.4742526,577,119.6310651,68.69184297,139.2111978,643,115.0644254,63.38386006,134.0918703,416,92.12103843,50.14774641,118.9523409,428,94.95233555,52.78877997,125.2072702,443,96.07104777,54.03054394,122.7695939,471,116.9024315,65.86506619,150.4705842,449,97.67111306,54.43236022,123.0836195,376,74.10451561,40.11616901,110.53756,814,178.5775236,114.2455719,209.2917857,630,117.3006631,75.88321372,134.039993,769,125.1106362,81.45851355,142.928571,1050,142.6970423,92.97580132,158.8085452,980,146.4755411,95.47739877,165.2982461
insL-1,NC_000913,15445..16557,944754,49.62071175,-1.0916256,-0.126478133,0.557491441,0.691813722,1,70,13.94379473,7.668871492,16.84229949,483,81.694365,46.62769903,91.61827896,240,50.56463055,29.03407789,57.90413774,282,51.27983856,28.24777596,58.80856522,119,26.77810846,14.57714563,34.02723213,104,23.44567078,13.03462784,30.42419649,227,50.02442424,28.1338334,62.90902442,189,47.66854346,26.85736925,60.37991596,198,43.76756917,24.39177784,54.27740904,142,28.43888813,15.39527292,41.74556786,227,50.60526332,32.37488756,58.365154,202,38.21894791,24.72429837,42.97790252,302,49.92778234,32.50757136,56.13059616,408,56.34472663,36.71201606,61.70846327,349,53.00683857,34.55153691,58.8664162
hokC,NC_000913,complement(16751..16903),2847744,0,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mokC,NC_000913,complement(16751..16960),944756,24.17839454,1.794859656,0.843871041,0.00041411,0.001837486,1,28,29.56084483,16.25800756,6.736919798,35,31.37537206,17.90773948,6.639005722,28,31.26579656,17.95273816,6.755482736,32,30.84064049,16.98873334,6.673312366,23,27.43068421,14.93238699,6.576691924,19,22.70172161,12.62102907,5.558266666,16,18.68753822,10.50990781,4.434116259,13,17.37758013,9.790861067,4.153115913,16,18.74489831,10.4465796,4.386053255,13,13.79886896,7.469959891,3.821777339,13,15.35992353,9.826562788,3.342497806,13,13.03606689,8.433188899,2.765904618,15,13.14324072,8.5574567,2.787943518,22,16.10243903,10.49171831,3.327417137,21,16.90447316,11.01887123,3.542105273
sokC,NC_000913,16952..17006,2847745,0,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nhaA,NC_000913,17489..18655,944758,76.36049889,1.412567136,0.498319437,0.000763573,0.003165793,1,408,77.5117268,42.63025119,98.16654563,512,82.59223906,47.14016769,97.11916941,528,106.0947338,60.91931716,127.389103,504,87.40824201,48.14930208,105.1046698,351,75.32937421,41.00690157,100.3660376,272,58.48204296,32.51310966,79.57097543,335,70.40854293,39.59790136,92.83930917,326,78.41731828,44.18181719,104.1473683,345,72.73285576,40.53420588,94.57427332,286,54.62791311,29.57259186,84.07910147,257,54.64208511,34.95745789,66.07861047,345,62.25450174,40.27318804,73.40285331,366,57.70862504,37.57361451,68.02582184,488,64.2742834,41.87860454,73.80816195,397,57.50707665,37.48493467,66.96265683
nhaR,NC_000913,18715..19620,944757,58.59732907,1.255629896,0.328411284,0.010184839,0.030036599,1,287,70.23147737,38.62622658,69.05342793,336,69.81539744,39.84768521,63.73445493,305,78.94095985,45.32769155,73.58650838,338,75.50595551,41.5928633,70.48686186,192,53.07635989,28.89307244,54.90108041,173,47.9117896,26.63657408,50.60948069,166,44.93981666,25.27424021,46.00395619,151,46.78579265,26.36001056,48.24003868,197,53.4958915,29.81339667,54.00328071,184,45.26985028,24.50664376,54.0928485,166,45.4616178,29.08422303,42.68112583,223,51.83214572,33.53084022,47.44590229,254,51.58649446,33.58754528,47.20917691,316,53.61016728,34.93028433,47.79380979,287,53.54949003,34.90525432,48.40877206
insB-1,NC_000913,complement(19811..20314),944743,4.130512578,1.506521489,0.591221252,0.138661346,0.248683713,1,6,2.639361145,1.451607818,1.443625671,14,5.229228677,2.984623247,2.655602289,12,5.583177956,3.2058461,2.895206887,15,6.023562596,3.318111981,3.128115171,3,1.490798055,0.811542771,0.857829381,3,1.493534317,0.83033086,0.877621052,17,8.273128898,4.652823768,4.711248525,8,4.455789776,2.510477197,2.555763639,8,3.905187148,2.17637075,2.193026628,5,2.211357205,1.197108957,1.469914361,1,0.492305242,0.314953936,0.257115216,16,6.685162506,4.324712256,3.404190299,7,2.555630139,1.663949914,1.301040308,5,1.524852181,0.993533931,0.756231168,11,3.689468348,2.404912371,1.855388476
insA-1,NC_000913,complement(20233..20508),948449,1.064800747,1.052480231,0.073793135,0.922373771,0.953202345,1,0,0,0,0,1,0.682073306,0.389298684,0.189685878,1,0.849614037,0.487846146,0.241267241,3,2.199909818,1.211832202,0.625623034,2,1.814884589,0.987965113,0.571886254,3,2.727323535,1.516256353,0.877621052,0,0,0,0,0,0,0,0,0,0,0,0,1,0.80762611,0.43720501,0.293982872,2,1.79798436,1.150266547,0.514230432,2,1.525961007,0.98716258,0.425523787,3,2.00005837,1.302221672,0.557588704,0,0,0,0,0,0,0,0
rpsT,NC_000913,complement(20815..21078),944759,5350.767456,-1.427776236,-0.513769895,0.003378602,0.011767396,1,3169,2661.315831,1463.682556,762.4749586,4694,3347.181738,1910.430208,890.3855102,3892,3457.002278,1985.001617,939.0121004,4449,3410.760181,1878.835662,927.7989598,3096,2937.143222,1598.886812,885.2799215,3306,3142.124651,1746.86516,967.1383999,4123,3830.547163,2154.307168,1142.616333,3029,3220.776499,1814.647091,967.6760077,5117,4768.632902,2657.571269,1402.714657,3704,3127.421979,1693.016784,1088.912559,6170,5798.908195,3709.871039,1586.400882,6116,4878.497339,3155.958769,1301.251742,7745,5398.187844,3514.716022,1439.50817,9484,5521.739269,3597.748944,1434.419279,8053,5156.504635,3361.173105,1358.313036
yaaY,NC_000913,21181..21399,949128,7.638580362,1.071302094,0.099365359,0.746514725,0.835545174,1,7,7.086503897,3.897467566,1.684229949,9,7.736393112,4.415606996,1.7071729,10,10.70746457,6.148198001,2.412672406,13,12.01411937,6.618042527,2.711033149,4,4.574503621,2.490213435,1.143772508,4,4.582899821,2.547864556,1.170161403,3,3.359916974,1.889623835,0.831396799,4,5.127210154,2.888768281,1.277881819,8,8.987280013,5.008634055,2.193026628,9,9.160471491,4.958982857,2.64584585,5,5.664882231,3.624127477,1.285576079,11,10.57720917,6.842524186,2.34038083,8,6.721657352,4.376416212,1.48690321,14,9.825896795,6.402169333,2.117447269,7,5.403256261,3.522013634,1.180701758
ribF,NC_000913,21407..22348,949129,222.5175365,1.01266125,0.018151652,0.899952502,0.940407323,1,873,205.4667001,113.003508,210.0475351,1040,207.8368595,118.6245163,197.2733129,800,199.145201,114.3486507,193.0137925,889,191.0044843,105.2158515,185.3929592,719,191.1639901,104.063561,205.5931084,839,223.478396,124.2428826,245.4413543,874,227.5683894,127.9849044,242.2136006,662,197.2751257,111.1485796,211.4894411,860,224.6104455,125.1759737,235.7503625,728,172.2661348,93.25555023,214.019531,963,253.6532204,162.2755016,247.6019529,941,210.3590705,136.0838199,200.2089419,1076,210.1802316,136.8466324,199.9884817,1356,221.2570227,144.1624063,205.0898926,1210,217.1381372,141.5375179,204.0927324
ileS,NC_000913,22391..25207,944761,347.4722159,-1.202490385,-0.266025359,0.083621056,0.168368068,1,3147,247.6783245,136.2192487,757.1816644,4193,280.2064645,159.9300355,795.3528855,2941,244.8155156,140.5724253,709.5669546,3328,239.1052852,131.7124374,694.024486,2840,252.4989592,137.452356,812.078481,3218,286.6313441,159.3527834,941.394849,3045,265.1257169,149.1072184,843.8677505,2564,255.5032425,143.9554145,819.1222462,3100,270.7430068,150.8857677,849.7978182,3351,265.1593915,143.5429255,985.136605,4223,371.9625622,237.9643013,1085.797557,4647,347.3828293,224.7261421,988.7045198,5087,332.2809078,216.3453856,945.4845784,6378,348.0053699,226.7466627,964.6484773,5628,337.7294105,220.1427308,949.2842132
lspA,NC_000913,25207..25701,944800,189.0155808,-1.226020943,-0.293983623,0.011382194,0.032921033,1,349,156.3141643,85.97037332,83.9708932,422,160.489782,91.60080075,80.04744042,313,148.2756715,85.13950068,75.5166463,300,122.6616383,67.5688258,62.56230343,272,137.6232483,74.91769388,77.77653057,286,144.9723977,80.5974488,83.66654034,275,136.2632995,76.63474442,76.2113732,252,142.9093303,80.51785045,80.50655462,232,115.309526,64.2622927,63.5977722,296,133.292571,72.1573748,87.01893019,369,184.9635547,118.3310568,94.87551465,428,182.079517,117.7894356,91.06209049,508,188.8378343,122.9507718,94.41835381,654,203.077041,132.3170425,98.91503671,545,186.119957,121.3188852,91.92606542
fkpB,NC_000913,25826..26275,944807,144.9396273,-1.166467054,-0.222145561,0.057035949,0.123367053,1,225,110.8531681,60.96752836,54.13596266,315,131.7765627,75.21250583,59.7510515,223,116.2045439,66.7243435,53.80259465,245,110.1910384,60.69932851,51.0925478,210,116.8785675,63.62495326,60.04805669,175,97.57757536,54.24828285,51.1945614,209,113.9161184,64.06664634,57.92064363,196,122.2668715,68.88749428,62.61620915,197,107.7050616,60.02430529,54.00328071,188,93.12467462,50.41265239,55.26877999,297,163.7604155,104.7662771,76.36321911,318,148.8117174,96.26809482,67.65828218,333,136.1639738,88.65525141,61.8923461,423,144.4827939,94.13932706,63.97715677,350,131.4792357,85.70233175,59.03508788
ispH,NC_000913,26277..27227,944777,118.4363489,-1.337128213,-0.419137807,0.011739503,0.033796965,1,363,84.62607786,46.54303427,87.33935309,510,100.9554559,57.62111758,96.73979766,316,77.91791571,44.7402623,76.24044803,398,84.70231113,46.65872545,82.99932255,268,70.58011738,38.42155808,76.63275807,273,72.02887266,40.04447377,79.86351578,311,80.21051005,45.11054672,86.18813478,251,74.08980414,41.74361294,80.18708416,323,83.56114961,46.56884164,88.54345009,310,72.66087271,39.33465897,91.1346904,440,114.7987491,73.44288616,113.130695,542,120.0165925,77.64018123,115.3169464,586,113.3829094,73.8226864,108.9156601,787,127.1986473,82.87765442,119.0307858,657,116.7848461,76.12406304,110.8172935
rihC,NC_000913,27293..28207,944796,20.07627068,-1.294274568,-0.372143704,0.037400213,0.088889399,1,68,16.47653646,9.06184028,16.36109094,90,18.51661302,10.56850199,17.071729,58,14.86406721,8.534908307,13.99349995,48,10.61726968,5.848580331,10.00996855,52,14.23345553,7.748237868,14.86904261,54,14.80802549,8.232526296,15.79717894,69,18.49606754,10.40222432,19.12212637,36,11.04451499,6.222691019,11.50093637,41,11.02415126,6.143787593,11.23926147,42,10.23169603,5.53888577,12.34728064,69,18.71082741,11.97031482,17.74094989,97,22.32405906,14.44170306,20.63790369,102,20.51207403,13.3552439,18.95801592,119,19.99006217,13.02474122,17.99830179,102,18.84433074,12.28333186,17.20451133
dapB,NC_000913,28374..29195,944762,341.3391009,-1.506037363,-0.590757562,0.013993775,0.039210541,1,1509,407.0010479,223.8442829,363.0718563,757,173.366107,98.95006416,143.5922095,1166,332.6269962,190.9935465,281.3176025,1280,315.1598299,173.607494,266.9324946,593,180.6803716,98.3566144,169.5642744,366,111.7207276,62.11117265,107.0697684,469,139.9434032,78.7044419,129.9750328,361,123.2822711,69.45958988,115.3288342,562,168.2080975,93.74280144,154.0601206,497,134.7733439,72.95898501,146.1094875,1234,372.484614,238.2982857,317.2801764,1379,353.2766807,228.5389457,293.3986514,1299,290.7822088,189.3259216,241.4359087,1863,348.3608285,226.9782657,281.771733,1662,341.7911727,222.790316,280.3323316
carA,NC_000913,29651..30799,949025,934.0917558,-2.154563463,-1.107395594,7.12372E-07,5.61635E-06,0.0031957,2731,526.9625798,289.8212706,657.0902846,1953,319.979643,182.6308888,370.4565193,1378,281.2289011,161.4808955,332.4662575,1464,257.8776793,142.0533121,305.3040407,1224,266.8022503,145.2386102,349.9943876,2401,524.3202352,291.495995,702.3893823,2391,510.400338,287.0501419,662.6232484,931,227.4546891,128.1523229,297.4269934,2597,556.076218,309.9026935,711.911269,2166,420.2017497,227.4744565,636.7669013,4873,1052.304382,673.2152707,1252.922447,5024,920.7720431,595.6585403,1068.915754,6190,991.2908968,645.4214078,1150.491358,6388,854.5414951,556.7857538,966.1609396,5788,851.5499622,555.0672468,976.2716819
carB,NC_000913,30817..34038,944775,504.9302985,-2.548612915,-1.349712272,2.75979E-12,4.39022E-11,1.23804E-08,3543,243.7943976,134.083149,852.4609587,3054,178.4364735,101.8440156,579.3006707,2614,190.2439297,109.2375641,630.6725669,2402,150.8829519,83.11468879,500.9155095,1914,148.7799802,80.99106181,547.2951453,2918,227.2397166,126.3339899,853.6327437,2751,209.4191826,117.7777553,762.3908642,1193,103.9393867,58.56143874,381.1282526,2675,204.2587412,113.833917,733.2932786,2012,139.1944352,75.35232424,591.493539,6356,489.466923,313.1381117,1634.224312,7992,522.3390101,337.9074057,1700.393054,9443,539.2807911,351.1213192,1755.103376,10434,497.7526418,324.3161174,1578.1032,9069,475.8121263,310.1494201,1529.683463
caiF,NC_000913,34300..34695,944795,77.58699397,-1.241468228,-0.31204734,0.15059434,0.26503186,1,154,86.21913075,47.41918872,37.05305889,137,65.12766626,37.1721259,25.98696525,158,93.56052757,53.7222089,38.12022401,177,90.46295826,49.83200902,36.91175902,64,40.47742598,22.03461585,18.30036014,63,39.91809901,22.19247935,18.4300421,82,50.789048,28.56385928,22.72484583,42,29.77277714,16.77455218,13.4177591,79,49.08110212,27.35302329,21.65613795,52,29.2703281,15.84536947,15.28710936,105,65.78988227,42.08929866,26.99709766,160,85.08388644,55.04179235,34.04190299,141,65.51706357,42.65762506,26.20666907,222,86.16801053,56.14369925,33.57666384,200,85.37612707,55.65086478,33.73433593
caiE,NC_000913,complement(34781..35371),948999,3.705470753,-1.214125047,-0.279917017,0.406732224,0.554084651,1,9,3.376238623,1.856879036,2.165438506,3,0.955595088,0.545413385,0.569057633,8,3.174192544,1.822613011,1.930137925,11,3.767019857,2.075083229,2.293951126,10,4.237801578,2.306923614,2.859431271,8,3.396463827,1.888265103,2.340322807,6,2.490090752,1.400431878,1.662793597,10,4.749826665,2.676143205,3.194704548,4,1.665155941,0.92799565,1.096513314,0,0,0,0,12,5.038006938,3.223081899,3.08538259,10,3.563157681,2.30504968,2.127618937,11,3.424803841,2.229861813,2.044491913,14,3.641068355,2.372377468,2.117447269,10,2.860316948,1.864445216,1.686716797
